Denver Nuggets (1),52,27,0.658
Memphis Grizzlies (2),50,30,0.625
Sacramento Kings (3),48,32,0.600
Phoenix Suns (4),44,35,0.557
Los Angeles Clippers (5),42,38,0.525
Golden State Warriors (6),42,38,0.525
Los Angeles Lakers (7),41,39,0.513
New Orleans Pelicans (8),41,39,0.513
Minnesota Timberwolves (9),40,40,0.500
Oklahoma City Thunder (10),38,42,0.475
Dallas Mavericks (11),38,42,0.475
Utah Jazz (12),36,43,0.456
Portland Trail Blazers (13),33,46,0.418
San Antonio Spurs (14),20,59,0.253
Houston Rockets (15),20,60,0.250
Milwaukee Bucks (1),58,22,0.725
Boston Celtics (2),55,25,0.688
Philadelphia 76ers (3),52,27,0.658
Cleveland Cavaliers (4),50,30,0.625
New York Knicks (5),47,33,0.588
Brooklyn Nets (6),44,36,0.550
Miami Heat (7),42,37,0.532
Atlanta Hawks (8),41,39,0.513
Toronto Raptors (9),40,40,0.500
Chicago Bulls (10),38,42,0.475
Orlando Magic (11),34,45,0.430
Indiana Pacers (12),34,46,0.425
Washington Wizards (13),34,46,0.425
Charlotte Hornets (14),26,54,0.325
Detroit Pistons (15),16,64,0.200
